Name,ID,Type,Description,Date,lien
Mise à jours ANSSI,2,Information,L'ANSSI a effectué une mise à jours de ses guides. Pensez à vérifier votre statut en faisant une analyse de fichier rapide !,28/11/2022,https://www.ssi.gouv.fr/entreprise/bonnes-pratiques/applications-web/
Mise à jours ANSSI,2,Information,L'ANSSI a effectué une révision de norme. Pensez à vérifier votre statut en faisant une analyse de fichier rapide !,22/11/2022,https://www.ssi.gouv.fr/entreprise/actualite/management-du-risque-revision-de-la-norme-iso270052022/
